,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate,Score Difference
0,CatBoost Regressor Tuned,0.8796070094775379,0.8789844163984223,7.0,1550.0,0.01,0.0006225930791156076
1,CatBoost Regressor Tuned,0.8840104024368753,0.8779545419142297,7.0,1600.0,0.01,0.0060558605226456175
2,CatBoost Regressor Tuned,0.8765288231819052,0.8762178097491504,8.0,1250.0,0.01,0.0003110134327547476
3,CatBoost Regressor Tuned,0.878927851642751,0.8760747118786648,9.0,1000.0,0.01,0.0028531397640861877
4,CatBoost Regressor Tuned,0.881048849569755,0.8757909679982143,9.0,2000.0,0.005,0.0052578815715407234
5,CatBoost Regressor Tuned,0.875859430443423,0.875674733441931,9.0,1350.0,0.007,0.00018469700149192914
6,CatBoost Regressor Tuned,0.881604594440357,0.8756114976413854,8.0,1300.0,0.01,0.005993096798971642
7,CatBoost Regressor Tuned,0.884346819467271,0.8753019622245579,9.0,1050.0,0.01,0.009044857242713089
8,CatBoost Regressor Tuned,0.8951546025402219,0.8752615783252807,7.0,1750.0,0.01,0.019893024214941213
9,CatBoost Regressor Tuned,0.8795820913618705,0.875210696681905,9.0,1400.0,0.007,0.004371394679965501
10,CatBoost Regressor Tuned,0.8831196114149092,0.8751392448486943,9.0,1450.0,0.007,0.007980366566214925
11,CatBoost Regressor Tuned,0.8872078438350358,0.874907833771043,8.0,1350.0,0.01,0.012300010063992839
12,CatBoost Regressor Tuned,0.8898859139809655,0.8747519874018918,9.0,1100.0,0.01,0.015133926579073753
13,CatBoost Regressor Tuned,0.8864622990728525,0.8747233566375562,9.0,1500.0,0.007,0.011738942435296273
14,CatBoost Regressor Tuned,0.8916997966390762,0.8746896477899251,8.0,1400.0,0.01,0.017010148849151085
15,CatBoost Regressor Tuned,0.8899517337876004,0.8743160874384199,9.0,1550.0,0.007,0.015635646349180465
16,CatBoost Regressor Tuned,0.8770196043417907,0.8742986750837702,8.0,1750.0,0.007,0.002720929258020477
17,CatBoost Regressor Tuned,0.8965460933770905,0.8738804283891509,8.0,1450.0,0.01,0.022665664987939538
18,CatBoost Regressor Tuned,0.8944986097794229,0.8737792836796359,9.0,1150.0,0.01,0.020719326099786994
19,CatBoost Regressor Tuned,0.8934197511069613,0.8735172636256003,9.0,1600.0,0.007,0.01990248748136092
20,CatBoost Regressor Tuned,0.8988590294498326,0.8733450575122347,9.0,1200.0,0.01,0.025513971937597968
21,CatBoost Regressor Tuned,0.9002278462879495,0.8729156334724577,8.0,1500.0,0.01,0.027312212815491788
22,CatBoost Regressor Tuned,0.903057574475333,0.8724061856893048,9.0,1250.0,0.01,0.030651388786028133
23,CatBoost Regressor Tuned,0.8942008337782135,0.8719425621014,8.0,2000.0,0.007,0.02225827167681349
24,CatBoost Regressor Tuned,0.9045936376400484,0.8717667801284099,8.0,1550.0,0.01,0.032826857511638496
25,CatBoost Regressor Tuned,0.9024273100321212,0.8715531096299435,9.0,1750.0,0.007,0.0308742004021777
26,CatBoost Regressor Tuned,0.9078610714130052,0.8709910041095139,9.0,1300.0,0.01,0.036870067303491294
27,CatBoost Regressor Tuned,0.8846153007301389,0.8709692931878783,10.0,1200.0,0.007,0.01364600754226064
28,CatBoost Regressor Tuned,0.8800302653198808,0.8708936507408256,10.0,1150.0,0.007,0.009136614579055236
29,CatBoost Regressor Tuned,0.8749678742048027,0.870778820557132,10.0,1100.0,0.007,0.0041890536476707485
30,CatBoost Regressor Tuned,0.8893164598327861,0.8705336051654348,10.0,1250.0,0.007,0.0187828546673513
31,CatBoost Regressor Tuned,0.9104773879405932,0.8703849700881823,7.0,2000.0,0.01,0.04009241785241091
32,CatBoost Regressor Tuned,0.908724155512328,0.8703133334673832,8.0,1600.0,0.01,0.03841082204494484
33,CatBoost Regressor Tuned,0.8857832049932148,0.8702593948918903,6.0,2000.0,0.01,0.015523810101324531
34,CatBoost Regressor Tuned,0.8936161773568022,0.8701759843716321,10.0,1300.0,0.007,0.023440192985170083
35,CatBoost Regressor Tuned,0.912034274368712,0.8697957556803295,9.0,1350.0,0.01,0.042238518688382465
36,CatBoost Regressor Tuned,0.8977589784552935,0.8696981848182646,10.0,1350.0,0.007,0.028060793637028958
37,CatBoost Regressor Tuned,0.9014567289880494,0.8695591040338213,10.0,1400.0,0.007,0.0318976249542281
38,CatBoost Regressor Tuned,0.9155556444065602,0.8689323909685371,9.0,1400.0,0.01,0.04662325343802309
39,CatBoost Regressor Tuned,0.9054489805375412,0.8686588261173014,10.0,1450.0,0.007,0.03679015442023981
40,CatBoost Regressor Tuned,0.8735547500950717,0.8683895574526419,10.0,1550.0,0.005,0.005165192642429761
41,CatBoost Regressor Tuned,0.8694663976494947,0.8683460181099287,10.0,1500.0,0.005,0.0011203795395660077
42,CatBoost Regressor Tuned,0.908715389125255,0.8682857251395611,10.0,1500.0,0.007,0.04042966398569381
43,CatBoost Regressor Tuned,0.87745754654968,0.8681107073161204,10.0,1600.0,0.005,0.009346839233559612
44,CatBoost Regressor Tuned,0.9118088577726492,0.867770101174766,10.0,1550.0,0.007,0.044038756597883144
45,CatBoost Regressor Tuned,0.9118844220344712,0.8677486537879917,7.0,1000.0,0.02,0.04413576824647947
46,CatBoost Regressor Tuned,0.9200811955075,0.8676823323572537,9.0,1450.0,0.01,0.05239886315024633
47,CatBoost Regressor Tuned,0.9149503047433812,0.8675901480715148,10.0,1600.0,0.007,0.04736015667186644
48,CatBoost Regressor Tuned,0.8881772517251685,0.8675702433431334,10.0,1750.0,0.005,0.020607008382035108
49,CatBoost Regressor Tuned,0.8673163007544593,0.8669657358626052,5.0,1150.0,0.02,0.00035056489185414375
50,CatBoost Regressor Tuned,0.9169925341241364,0.8666181650254344,9.0,2000.0,0.007,0.050374369098701965
51,CatBoost Regressor Tuned,0.9169512636813116,0.8663887075693488,7.0,1050.0,0.02,0.05056255611196281
52,CatBoost Regressor Tuned,0.886401446892009,0.8661434182630572,6.0,1000.0,0.02,0.020258028628951763
53,CatBoost Regressor Tuned,0.9190182520859572,0.865898302909529,8.0,1750.0,0.01,0.05311994917642826
54,CatBoost Regressor Tuned,0.9023016297177432,0.8655540515690785,10.0,2000.0,0.005,0.036747578148664695
55,CatBoost Regressor Tuned,0.9027558216632714,0.8655488541644769,10.0,1000.0,0.01,0.037206967498794485
56,CatBoost Regressor Tuned,0.9238314325993472,0.8654130232066737,9.0,1500.0,0.01,0.05841840939267351
57,CatBoost Regressor Tuned,0.8728885150211843,0.8652109422089409,5.0,1200.0,0.02,0.0076775728122433495
58,CatBoost Regressor Tuned,0.9073231855847184,0.8649762910635731,10.0,1050.0,0.01,0.04234689452114526
59,CatBoost Regressor Tuned,0.9234608476452726,0.8649651879283353,10.0,1750.0,0.007,0.058495659716937265
60,CatBoost Regressor Tuned,0.9216882423219868,0.8644485102636177,7.0,1100.0,0.02,0.057239732058369075
61,CatBoost Regressor Tuned,0.8925853138307741,0.8643598851967469,6.0,1050.0,0.02,0.028225428634027216
62,CatBoost Regressor Tuned,0.911910088469146,0.864190957334803,10.0,1100.0,0.01,0.04771913113434301
63,CatBoost Regressor Tuned,0.9154649834966057,0.8638645710021737,10.0,1150.0,0.01,0.051600412494431924
64,CatBoost Regressor Tuned,0.9271763361696116,0.8637838178231485,9.0,1550.0,0.01,0.06339251834646309
65,CatBoost Regressor Tuned,0.9198931150419152,0.8634054306635929,10.0,1200.0,0.01,0.0564876843783223
66,CatBoost Regressor Tuned,0.8779722154086247,0.8631352068412739,5.0,1250.0,0.02,0.014837008567350818
67,CatBoost Regressor Tuned,0.925474926842233,0.8626171393768938,7.0,1150.0,0.02,0.06285778746533921
68,CatBoost Regressor Tuned,0.9303421492691611,0.8625564376331275,9.0,1600.0,0.01,0.06778571163603364
69,CatBoost Regressor Tuned,0.8980138062001853,0.8622605934178882,6.0,1100.0,0.02,0.03575321278229715
70,CatBoost Regressor Tuned,0.8977763977369805,0.8622194600437971,5.0,1000.0,0.03,0.035556937693183355
71,CatBoost Regressor Tuned,0.8824730149116576,0.8621058812327869,5.0,1300.0,0.02,0.020367133678870775
72,CatBoost Regressor Tuned,0.9237460133953576,0.8619957121929169,10.0,1250.0,0.01,0.06175030120244063
73,CatBoost Regressor Tuned,0.9277127176239364,0.8608156011734318,10.0,1300.0,0.01,0.06689711645050456
74,CatBoost Regressor Tuned,0.8872418694918263,0.8605886032259839,5.0,1350.0,0.02,0.026653266265842412
75,CatBoost Regressor Tuned,0.9300900317680044,0.860347400888585,7.0,1200.0,0.02,0.06974263087941945
76,CatBoost Regressor Tuned,0.9361293431732898,0.8602126990084351,10.0,2000.0,0.007,0.07591664416485466
77,CatBoost Regressor Tuned,0.932963457038337,0.8600638510874667,8.0,1000.0,0.02,0.0728996059508703
78,CatBoost Regressor Tuned,0.9037004849639948,0.8600099085360694,6.0,1150.0,0.02,0.0436905764279254
79,CatBoost Regressor Tuned,0.9317736124668536,0.859895924428692,10.0,1350.0,0.01,0.07187768803816164
80,CatBoost Regressor Tuned,0.8638987722796594,0.8597756413859441,4.0,1050.0,0.03,0.004123130893715299
81,CatBoost Regressor Tuned,0.935110756864566,0.8590689560119655,10.0,1400.0,0.01,0.07604180085260048
82,CatBoost Regressor Tuned,0.8912377202594672,0.8588780692977727,5.0,1400.0,0.02,0.032359650961694575
83,CatBoost Regressor Tuned,0.9079507313451468,0.8588589251690999,6.0,1200.0,0.02,0.049091806176046915
84,CatBoost Regressor Tuned,0.9373303436482624,0.8588312853191237,8.0,1050.0,0.02,0.07849905832913873
85,CatBoost Regressor Tuned,0.9344080015267436,0.8587202668360409,7.0,1250.0,0.02,0.07568773469070278
86,CatBoost Regressor Tuned,0.8743357404864563,0.8586005528938063,4.0,1150.0,0.03,0.015735187592650024
87,CatBoost Regressor Tuned,0.9331892621585564,0.858544380212278,8.0,2000.0,0.01,0.07464488194627839
88,CatBoost Regressor Tuned,0.8619841231127905,0.8584066613882598,4.0,1500.0,0.02,0.0035774617245306617
89,CatBoost Regressor Tuned,0.9029805540664688,0.8583654780957379,5.0,1050.0,0.03,0.04461507597073089
90,CatBoost Regressor Tuned,0.869609474353235,0.8583383622227605,4.0,1600.0,0.02,0.011271112130474492
91,CatBoost Regressor Tuned,0.8692190155170857,0.8583193592602953,4.0,1100.0,0.03,0.010899656256790347
92,CatBoost Regressor Tuned,0.9397534049429626,0.8581462865404423,9.0,1750.0,0.01,0.08160711840252022
93,CatBoost Regressor Tuned,0.938472909919303,0.8578754909915123,10.0,1450.0,0.01,0.08059741892779071
94,CatBoost Regressor Tuned,0.8659369184425666,0.8576061728447075,4.0,1550.0,0.02,0.008330745597859068
95,CatBoost Regressor Tuned,0.8794053886923717,0.8574630084520432,4.0,1200.0,0.03,0.021942380240328574
96,CatBoost Regressor Tuned,0.9419617541643148,0.8572765755367977,8.0,1100.0,0.02,0.08468517862751712
97,CatBoost Regressor Tuned,0.8944644597456137,0.8572101346785526,5.0,1450.0,0.02,0.03725432506706117
98,CatBoost Regressor Tuned,0.911872244714354,0.8571101733505396,6.0,1250.0,0.02,0.05476207136381439
99,CatBoost Regressor Tuned,0.9375153870861788,0.8571082055546816,7.0,1300.0,0.02,0.08040718153149717
100,CatBoost Regressor Tuned,0.9414896866537042,0.857062873886706,10.0,1500.0,0.01,0.08442681276699826
101,CatBoost Regressor Tuned,0.8783498774051526,0.856848702078926,4.0,1750.0,0.02,0.02150117532622653
102,CatBoost Regressor Tuned,0.9074009327287246,0.856823359658346,5.0,1100.0,0.03,0.05057757307037858
103,CatBoost Regressor Tuned,0.9440993202632788,0.856107730843666,10.0,1550.0,0.01,0.08799158941961283
104,CatBoost Regressor Tuned,0.8979305637403593,0.8560822674342882,5.0,1500.0,0.02,0.04184829630607112
105,CatBoost Regressor Tuned,0.9405636458925932,0.8555826681926212,7.0,1350.0,0.02,0.08498097769997204
106,CatBoost Regressor Tuned,0.8839731499371093,0.8554454081264409,4.0,1250.0,0.03,0.028527741810668417
107,CatBoost Regressor Tuned,0.945900543070048,0.8552296192959712,8.0,1150.0,0.02,0.09067092377407682
108,CatBoost Regressor Tuned,0.9294534778915398,0.855056212957748,6.0,1000.0,0.03,0.07439726493379173
109,CatBoost Regressor Tuned,0.9020178722126502,0.8548592568969161,5.0,1550.0,0.02,0.047158615315734065
110,CatBoost Regressor Tuned,0.9158860901358384,0.8548415051767344,6.0,1300.0,0.02,0.06104458495910403
111,CatBoost Regressor Tuned,0.946955899265938,0.8547927747021662,10.0,1600.0,0.01,0.09216312456377185
112,CatBoost Regressor Tuned,0.9431087838102094,0.8543791415832473,7.0,1400.0,0.02,0.088729642226962
113,CatBoost Regressor Tuned,0.9115295982205206,0.854052058111671,5.0,1150.0,0.03,0.057477540108849645
114,CatBoost Regressor Tuned,0.8877677841456173,0.8540514147182716,4.0,1300.0,0.03,0.03371636942734568
115,CatBoost Regressor Tuned,0.9051937009467595,0.8540436119557047,5.0,1600.0,0.02,0.05115008899105489
116,CatBoost Regressor Tuned,0.9188177160488088,0.8535413227237216,6.0,1350.0,0.02,0.06527639332508717
117,CatBoost Regressor Tuned,0.9338984862511012,0.853421392073391,6.0,1050.0,0.03,0.0804770941777102
118,CatBoost Regressor Tuned,0.9497188543428228,0.8527573066733108,8.0,1200.0,0.02,0.09696154766951193
119,CatBoost Regressor Tuned,0.8917454069856402,0.8526063980881954,4.0,1350.0,0.03,0.039139008897444816
120,CatBoost Regressor Tuned,0.9151654656887408,0.8524175851012415,5.0,1200.0,0.03,0.06274788058749925
121,CatBoost Regressor Tuned,0.945858886877324,0.8524078145985415,7.0,1450.0,0.02,0.09345107227878247
122,CatBoost Regressor Tuned,0.852987668566379,0.8523551310596795,3.0,1150.0,0.04,0.0006325375066994487
123,CatBoost Regressor Tuned,0.8548813886425949,0.8522478763788424,3.0,1600.0,0.03,0.0026335122637525243
124,CatBoost Regressor Tuned,0.949994518066674,0.8522446215194454,9.0,1000.0,0.02,0.09774989654722865
125,CatBoost Regressor Tuned,0.8617859645245045,0.8522410088611538,3.0,1000.0,0.05,0.009544955663350674
126,CatBoost Regressor Tuned,0.9374708071519696,0.8522210195431709,6.0,1100.0,0.03,0.08524978760879875
127,CatBoost Regressor Tuned,0.8923684125341559,0.8521884321013394,4.0,2000.0,0.02,0.04017998043281645
128,CatBoost Regressor Tuned,0.9511674053989728,0.8521708705950551,9.0,2000.0,0.01,0.09899653480391768
129,CatBoost Regressor Tuned,0.922520768471528,0.8518648267519994,6.0,1400.0,0.02,0.0706559417195286
130,CatBoost Regressor Tuned,0.9651615459453332,0.8518387292265112,8.0,1000.0,0.03,0.11332281671882205
131,CatBoost Regressor Tuned,0.9193523162363644,0.8512813860460052,5.0,1250.0,0.03,0.06807093019035915
132,CatBoost Regressor Tuned,0.9542480224753632,0.8512554007007911,10.0,1750.0,0.01,0.10299262177457214
133,CatBoost Regressor Tuned,0.894874286123571,0.8511009541521891,4.0,1400.0,0.03,0.04377333197138189
134,CatBoost Regressor Tuned,0.925792745030908,0.8510222529116269,6.0,1450.0,0.02,0.0747704921192811
135,CatBoost Regressor Tuned,0.952916733417677,0.8507510368335025,8.0,1250.0,0.02,0.10216569658417451
136,CatBoost Regressor Tuned,0.941069354960158,0.850622427431234,6.0,1150.0,0.03,0.09044692752892403
137,CatBoost Regressor Tuned,0.9132999308980082,0.8502490492694343,5.0,1750.0,0.02,0.06305088162857386
138,CatBoost Regressor Tuned,0.8668187623548844,0.8501477634645879,3.0,1050.0,0.05,0.01667099889029655
139,CatBoost Regressor Tuned,0.9231983003943928,0.8501402275643385,5.0,1300.0,0.03,0.07305807283005428
140,CatBoost Regressor Tuned,0.948699446383699,0.850125065214934,7.0,1500.0,0.02,0.09857438116876494
141,CatBoost Regressor Tuned,0.9680314548724894,0.8500180502937312,8.0,1050.0,0.03,0.1180134045787582
142,CatBoost Regressor Tuned,0.8650608943402025,0.8499237169925635,3.0,1750.0,0.03,0.015137177347638975
143,CatBoost Regressor Tuned,0.8569085719549236,0.8498946266365194,3.0,1200.0,0.04,0.007013945318404269
144,CatBoost Regressor Tuned,0.8909338409163582,0.8498688006919073,4.0,1000.0,0.04,0.0410650402244509
145,CatBoost Regressor Tuned,0.9290933837783422,0.8497982469532124,6.0,1500.0,0.02,0.07929513682512979
146,CatBoost Regressor Tuned,0.944064484359225,0.8497971493370213,6.0,1200.0,0.03,0.09426733502220364
147,CatBoost Regressor Tuned,0.893961103629901,0.849516958795699,3.0,1000.0,0.07,0.044444144834202004
148,CatBoost Regressor Tuned,0.9289363340045872,0.8494807868755359,5.0,1000.0,0.04,0.07945554712905134
149,CatBoost Regressor Tuned,0.8984526802740618,0.849369534056623,4.0,1450.0,0.03,0.04908314621743881
150,CatBoost Regressor Tuned,0.9540618798989434,0.8493359648384408,9.0,1050.0,0.02,0.10472591506050266
151,CatBoost Regressor Tuned,0.9560281512016752,0.8491791901897539,8.0,1300.0,0.02,0.10684896101192132
152,CatBoost Regressor Tuned,0.932091168891828,0.8491181164375283,6.0,1550.0,0.02,0.08297305245429965
153,CatBoost Regressor Tuned,0.9267662883846088,0.8489806702572108,5.0,1350.0,0.03,0.07778561812739804
154,CatBoost Regressor Tuned,0.951070604498376,0.8489203454885702,7.0,1550.0,0.02,0.10215025900980579
155,CatBoost Regressor Tuned,0.8716901439828453,0.8485078717456507,3.0,1100.0,0.05,0.0231822722371946
156,CatBoost Regressor Tuned,0.8621285182980031,0.8484942214310369,3.0,1250.0,0.04,0.013634296866966156
157,CatBoost Regressor Tuned,0.8952996589389985,0.8483605757421699,4.0,1050.0,0.04,0.0469390831968286
158,CatBoost Regressor Tuned,0.9473196381355566,0.8479845591852111,6.0,1250.0,0.03,0.09933507895034555
159,CatBoost Regressor Tuned,0.9709600154437468,0.8479271651746481,8.0,1100.0,0.03,0.12303285026909871
160,CatBoost Regressor Tuned,0.9347671325362564,0.8479192520398371,6.0,1600.0,0.02,0.08684788049641934
161,CatBoost Regressor Tuned,0.9015220862498396,0.8478572485658714,4.0,1500.0,0.03,0.053664837683968236
162,CatBoost Regressor Tuned,0.851676475486774,0.8478542978438359,2.0,1000.0,0.1,0.0038221776429381293
163,CatBoost Regressor Tuned,0.9587591526857544,0.8476417749092564,8.0,1350.0,0.02,0.111117377776498
164,CatBoost Regressor Tuned,0.9532040790662308,0.8475394143219482,7.0,1600.0,0.02,0.1056646647442826
165,CatBoost Regressor Tuned,0.9319786235219438,0.8474997135780411,5.0,1050.0,0.04,0.08447890994390272
166,CatBoost Regressor Tuned,0.8662708298506148,0.8469840689754836,3.0,1300.0,0.04,0.019286760875131148
167,CatBoost Regressor Tuned,0.9578412554420476,0.8469772353021592,9.0,1100.0,0.02,0.11086402013988839
168,CatBoost Regressor Un-tuned,0.947377841150642,0.8467619331164478,,,,0.10061590803419429
169,CatBoost Regressor Tuned,0.963986445405042,0.846732024636572,10.0,2000.0,0.01,0.11725442076846992
170,CatBoost Regressor Tuned,0.9303470241101351,0.8467259202522635,5.0,1400.0,0.03,0.08362110385787169
171,CatBoost Regressor Tuned,0.8568015676153893,0.8465288276799791,2.0,1050.0,0.1,0.010272739935410224
172,CatBoost Regressor Tuned,0.9046891834905252,0.8464478790465502,4.0,1550.0,0.03,0.05824130444397502
173,CatBoost Regressor Tuned,0.8761621641704409,0.8463969651116183,3.0,1150.0,0.05,0.029765199058822578
174,CatBoost Regressor Tuned,0.8992349788122294,0.8463537084384497,3.0,1050.0,0.07,0.052881270373779654
175,CatBoost Regressor Tuned,0.849062669212794,0.846242543327131,2.0,1400.0,0.07,0.0028201258856630496
176,CatBoost Regressor Tuned,0.9633410597185426,0.8462341837949774,10.0,1000.0,0.02,0.11710687592356517
177,CatBoost Regressor Tuned,0.8520868725106012,0.8461304285567206,2.0,1450.0,0.07,0.005956443953880619
178,CatBoost Regressor Tuned,0.8610171889560743,0.846124213541435,2.0,1100.0,0.1,0.014892975414639298
179,CatBoost Regressor Tuned,0.9612416997291906,0.8459891761461923,8.0,1400.0,0.02,0.11525252358299831
180,CatBoost Regressor Tuned,0.950306773280271,0.8458150392942281,6.0,1300.0,0.03,0.10449173398604295
181,CatBoost Regressor Tuned,0.870223391908806,0.845673212424848,3.0,1350.0,0.04,0.02455017948395799
182,CatBoost Regressor Tuned,0.8842599118288627,0.845662884945593,3.0,1250.0,0.05,0.0385970268832696
183,CatBoost Regressor Tuned,0.9076482154262864,0.8455535533069635,4.0,1600.0,0.03,0.06209466211932291
184,CatBoost Regressor Tuned,0.8808830082717024,0.8455499614504971,3.0,1200.0,0.05,0.035333046821205305
185,CatBoost Regressor Tuned,0.9001065734596269,0.845257788455059,4.0,1100.0,0.04,0.05484878500456791
186,CatBoost Regressor Tuned,0.9334986031603788,0.8452116618021068,5.0,1450.0,0.03,0.08828694135827198
187,CatBoost Regressor Tuned,0.9252595128048924,0.8451272410560045,5.0,2000.0,0.02,0.08013227174888793
188,CatBoost Regressor Tuned,0.9738060132532486,0.8450455217437619,8.0,1150.0,0.03,0.12876049150948665
189,CatBoost Regressor Tuned,0.9360162891800096,0.8450163759997616,5.0,1100.0,0.04,0.09099991318024792
190,CatBoost Regressor Tuned,0.9610890445548336,0.8448409419616532,9.0,1150.0,0.02,0.11624810259318041
191,CatBoost Regressor Tuned,0.9030319148248512,0.8447493534105145,3.0,1100.0,0.07,0.05828256141433674
